"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","150","test_get_all_brands","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","111","test_update_user","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","81","test_verify_login_invalid_email_format[@example.com]","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","131","test_get_all_products","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","80","test_verify_login_invalid_email_format[two@@example.com]","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","85","test_method_not_allowed[post-/productsList]","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","209","test_delete_user","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","85","test_method_not_allowed[delete-/verifyLogin]","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","99","test_method_not_allowed[put-/brandsList]","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","98","test_search_products[dress]","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","81","test_verify_login_missing_email","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","157","test_search_products[jeans]","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","101","test_create_user","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","80","test_verify_login_invalid_credentials","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","85","test_verify_login_invalid_email_format[user@]","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","102","test_search_products[top]","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","85","test_verify_login_invalid_email_format[notanemail]","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","86","test_verify_login_invalid_email_format[user@nonexistentdomain12345.xyz]","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","97","test_search_product_missing_param","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
"","83","test_verify_login_valid_credentials","tests.api","2026-06-04","passed","2026-06-04","","test_users","",""
