"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4407","test_place_order_register_while_checkout","tests.ui","2026-06-04","passed","2026-06-04","","test_checkout","",""
"","902","test_remove_product_from_cart","tests.ui","2026-06-04","passed","2026-06-04","","test_cart","",""
"","3429","test_place_order_login_before_checkout","tests.ui","2026-06-04","passed","2026-06-04","","test_checkout","",""
"","5831","test_logout_valid_credentials","tests.ui","2026-06-04","passed","2026-06-04","","test_auth","",""
"","455","test_search_product","tests.ui","2026-06-04","passed","2026-06-04","","test_products","",""
"","256","test_subscription_on_cart_page","tests.ui","2026-06-04","passed","2026-06-04","","test_subscription","",""
"","1392","test_view_brand_products","tests.ui","2026-06-04","passed","2026-06-04","","test_products","",""
"","3331","test_login_invalid_credentials","tests.ui","2026-06-04","passed","2026-06-04","","test_auth","",""
"","73","test_subscription_on_home_page","tests.ui","2026-06-04","passed","2026-06-04","","test_subscription","",""
"","268","test_all_products_page","tests.ui","2026-06-04","passed","2026-06-04","","test_products","",""
"","1337","test_add_products_to_cart","tests.ui","2026-06-04","passed","2026-06-04","","test_cart","",""
"","3828","test_login_valid_credentials","tests.ui","2026-06-04","passed","2026-06-04","","test_auth","",""
"","487","test_product_detail_page","tests.ui","2026-06-04","passed","2026-06-04","","test_products","",""
"","441","test_view_category_products","tests.ui","2026-06-04","passed","2026-06-04","","test_products","",""
"","171","test_test_cases_content_visible","tests.ui","2026-06-04","passed","2026-06-04","","test_test_cases","",""
"","534","test_contact_us_form","tests.ui","2026-06-04","passed","2026-06-04","","test_contact","",""
"","3392","test_register_existing_email","tests.ui","2026-06-04","passed","2026-06-04","","test_auth","",""
"","852","test_product_quantity_in_cart","tests.ui","2026-06-04","passed","2026-06-04","","test_cart","",""
"","4157","test_place_order_register_before_checkout","tests.ui","2026-06-04","passed","2026-06-04","","test_checkout","",""
"","151","test_navigate_to_test_cases_page","tests.ui","2026-06-04","passed","2026-06-04","","test_test_cases","",""
"","9245","test_register_new_user","tests.ui","2026-06-04","passed","2026-06-04","","test_auth","",""
